geonames_id,Place_geonames_id,lat_geonames_id,lon_geonames_id
3427200,Sierra del 15,-37.96613,-57.9467
3427201,Puesto 1 Napoleón Cué,-28.63333,-56.11667
3427202,Cañada del Zorro,-32.16667,-59.5
3427203,Estancia Zorraquín,-31.51553,-58.55208
3427204,Estancia Zequeira Cué,-28.43825,-56.08838
3427205,Arroyo Zequeira,-27.83789,-56.08614
3427206,Zenón Videla Dorna,-35.54208,-58.88645
3427207,Zenón Roca,-31.54708,-58.77304
3427208,Zelaya,-34.37052,-58.86938
3427209,Arroyo de la Zarza,-32.13507,-59.85856
3427210,Zarza,-30.25772,-59.13549
3427211,Puesto Zárate,-25.67826,-57.83351
3427212,Partido de Zárate,-34,-59.16667
3427213,Zárate,-34.09584,-59.02423
3427214,Arroyo Zapirán,-26.92576,-58.74723
3427215,Zapiola,-35.05976,-59.04057
3427216,Arroyo Zapata,-34.98057,-57.72107
3427217,Riacho Zanjón,-25.61614,-57.78634
3427218,Estancia Zanjón,-38.16667,-59.88333
3427219,Arroyo Zanjón,-37.33792,-58.17121
3427220,Arroyo Zanjón,-27.06667,-58.7
3427221,Arroyo Zaiman,-27.39531,-55.87936
3427222,Arroyo de Zabala,-38.70925,-59.3465
3427223,Laguna del Yuyo,-38.18864,-59.40333
3427224,Paso Yurupé,-29.55807,-57.57134
3427225,Arroyo Yurupé,-29.57767,-57.5335
3427226,Isla Yuruhatá,-28.45873,-59.06266
3427227,Bañado Yurucuá,-28.7948,-56.73713
3427228,Yuru Cuá,-28.71977,-56.83918
3427229,Yurucua,-26.71667,-56.83333
3427230,Colonia Yuruacua,-25.26893,-59.69306
3427231,Arroyo Yuquery,-28.79171,-58.10871
3427232,Arroyo Yuquerí Grande,-31.42442,-58.04767
3427233,Arroyo Yuquerí Chico,-31.45287,-58.08358
3427234,Santa Clara,-29.06378,-57.7569
3427235,Cerro Yuquerí,-29.40325,-57.57922
3427236,Arroyo Yuquerí,-29.1763,-57.61982
3427237,Estación Yuquerí,-31.39738,-58.1618
3427238,Yuquerí,-28.87783,-58.03865
3427239,Estancia Yumká,-24.60915,-59.38603
3427240,Bañado Yua,-28.45168,-56.75475
3427241,Paso Yrupé,-29.81008,-57.83142
3427242,Arroyo Yrupé,-29.9,-57.7
3427243,Yraizoz,-38.13906,-57.98618
3427244,Arroyo Ypané,-28.69234,-57.56352
3427245,Puesto Yoló,-24.68274,-59.12593
3427246,Arroyo Yohazá,-28.37207,-55.88715
3427247,Arroyo del Yeso,-30.8915,-59.40993
3427248,Yeso Oeste,-30.93699,-59.46712
3427249,Paso Yeruá,-31.49837,-58.1775
3427250,Laguna Yeruá,-36.92891,-57.53898
3427251,Estancia Yeruá,-36.93396,-57.56589
3427252,Colonia Yeruá,-31.4171,-58.42208
3427253,Cerrito Yeruá,-27.67465,-56.34857
3427254,Arroyo Yeruá,-31.6035,-57.9902
3427255,Estación Yeruá,-31.47089,-58.26423
3427256,Isla Yerbones,-28.50123,-59.07117
3427257,Colonia Yerbal Viejo,-27.4,-54.95
3427258,Yerbal Viejo,-27.49279,-55.1703
3427259,Yerbal Vázquez Cué,-25.73333,-54.45
3427260,San Juan,-28.03992,-55.85553
3427262,Yerbal Caá Yará,-27.11667,-54.13333
3427263,Estancia Yerbabuena,-33.81935,-59.72616
3427264,Arroyo Yehuincó,-37.71035,-59.63208
3427265,Estero Yegua Retá,-27.87197,-57.35793
3427266,Yegua Paso,-29.72429,-57.60398
3427267,Arroyo Ybicuy,-25.66667,-54.41667
3427268,Yatay Corá,-28.65886,-58.22035
3427269,Bañado Yatay,-29.59876,-57.21651
3427270,Arroyo Yatay,-32.1251,-59.48013
3427271,Arroyo Yatay,-28.83495,-58.19355
3427272,Yatay,-27.13311,-58.79536
3427273,Yatayti Calle,-29.02831,-58.9123
3427274,Yasu Argentina,-25.83049,-54.58502
3427275,Yaros,-31.08333,-58.38333
3427276,Puesto Yapeyú,-25.50137,-59.86724
3427277,Paso Yapeyú,-29.43333,-56.86667
3427278,Apeadero Yapeyú,-29.46575,-56.94116
3427279,Yapeyú,-29.46907,-56.81837
3427280,Bañado Yapepó,-28.88015,-56.69418
3427281,Paraje Yamahuida,-36.85378,-57.67443
3427282,Laguna Yamahuida,-36.86548,-57.70213
3427283,Estancia Yamahuida,-36.83333,-57.68333
3427284,Estero Yalor,-25.39899,-59.27331
3427285,Laguna Yalca,-35.57556,-57.90436
3427286,Laguna Yalca,-35.56667,-58.91667
3427287,Yahapé,-27.37274,-57.65524
3427288,Cancha del Yaguereté,-29.28333,-59.53333
3427289,Arroyo Yaguá Zaingó,-28.35183,-55.8638
3427290,Yaguaritica,-26.63333,-54.03333
3427291,Arroyo Yaguarí,-29.74121,-57.6175
3427292,Yaguarete Northeast,-25.78333,-58.28333
3427293,Monte Yaguareté Cuá,-27.91667,-57.55
3427294,Estancia Yaguareté Corá,-28.46841,-58.12676
3427295,Puesto Yaguareté,-25.84559,-58.33904
3427296,Puesto Yaguareté,-25.55944,-57.87009
3427297,Puesto Yaguareté,-25.53333,-58.33333
3427298,Islas Yaguareté,-29.39495,-59.56508
